cle_externe,titre,description,image_url,temps_preparation,difficulte,cout_estime,calories,proteines_g,glucides_g,lipides_g,portions,source,statut_publication,regimes,allergenes,ingredients,etapes
catalogue-v1-r-021,Poulet basmati aux poivrons,"Poulet tendre, poivrons colorés et riz basmati.",https://images.unsplash.com/photo-1505253716362-afaea1d3d1af,30,facile,13,520,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,sans_gluten|sans_lactose|sans_noix,,Blanc de poulet:600:g;Riz basmati:300:g;Poivron:2:unite;Oignon:1:unite,Cuire le riz basmati.;Faire revenir l'oignon et le poulet en morceaux.;Ajouter les poivrons et cuire jusqu'à ce qu'ils soient tendres.
catalogue-v1-r-022,Curry de lentilles corail au coco,"Un curry végétal doux, crémeux et rassasiant.",https://images.unsplash.com/photo-1585937421612-70a008356fbe,30,facile,8,430,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegan|vegetarien|sans_gluten|sans_lactose|sans_noix,,Lentilles corail:300:g;Lait de coco:400:ml;Pâte de curry:2:cs;Oignon:1:unite,Faire revenir l'oignon et la pâte de curry.;Ajouter les lentilles et le lait de coco avec un peu d'eau.;Mijoter 20 minutes en remuant régulièrement.
catalogue-v1-r-023,Dahl de patate douce,"Lentilles corail et patate douce mijotées au lait de coco.",https://images.unsplash.com/photo-1490645935967-10de6ba17061,35,facile,9,460,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegan|vegetarien|sans_gluten|sans_lactose|sans_noix,,Lentilles corail:250:g;Patate douce:500:g;Lait de coco:400:ml;Pâte de curry:1:cs,Éplucher et couper la patate douce en dés.;Réunir tous les ingrédients dans une casserole avec un peu d'eau.;Mijoter jusqu'à ce que les lentilles et la patate douce soient tendres.
catalogue-v1-r-024,Bowl quinoa avocat et feta,"Un bowl frais au quinoa, avocat, concombre et feta.",https://images.unsplash.com/photo-1543353071-873f17a7a088,20,facile,11,440,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,lactose,Quinoa:180:g;Avocat:1:unite;Concombre:1:unite;Feta:120:g,Cuire puis refroidir le quinoa.;Couper l'avocat et le concombre.;Répartir dans les bols et émietter la feta.
catalogue-v1-r-025,Quinoa mangue et edamame,"Un bowl végétal sucré-salé, riche en couleurs.",https://images.unsplash.com/photo-1563379926898-05f4575a45d8,20,facile,10,410,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,vegan|vegetarien|sans_gluten|sans_lactose|sans_noix,soja,Quinoa:180:g;Mangue:1:unite;Edamame:150:g;Concombre:1:unite,Cuire puis refroidir le quinoa et les edamame.;Couper la mangue et le concombre.;Assembler les ingrédients dans deux bols.
catalogue-v1-r-026,Poivrons farcis au quinoa,"Des poivrons rôtis garnis de quinoa, tomate et feta.",https://images.unsplash.com/photo-1528712306091-ed0763094c98,45,facile,10,390,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,lactose,Poivron:4:unite;Quinoa:220:g;Tomate:3:unite;Feta:120:g,Cuire le quinoa et couper les tomates.;Farcir les poivrons avec le quinoa la tomate et la feta.;Cuire 30 minutes au four à 190°C.
catalogue-v1-r-027,Gratin de courgettes tomate mozzarella,"Courgettes et tomates gratinées à la mozzarella.",https://images.unsplash.com/photo-1551183053-bf91a1d81141,45,facile,10,360,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,lactose,Courgette:3:unite;Tomate:4:unite;Mozzarella:250:g;Basilic frais:1:botte,Trancher les courgettes les tomates et la mozzarella.;Alterner les tranches dans un plat.;Cuire 30 minutes au four puis ajouter le basilic.
catalogue-v1-r-028,Poêlée de pommes de terre aux champignons,"Une poêlée dorée de pommes de terre, champignons et oignon.",https://images.unsplash.com/photo-1541592106381-b31e9677c0e5,35,facile,8,370,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegan|vegetarien|sans_gluten|sans_lactose|sans_noix,,Pommes de terre:800:g;Champignons de Paris:300:g;Oignon:1:unite;Ail:2:unite,Cuire les pommes de terre en dés à la poêle.;Ajouter l'oignon et les champignons émincés.;Terminer avec l'ail et cuire jusqu'à coloration.
catalogue-v1-r-029,Velouté poireaux pommes de terre,"Un velouté simple et réconfortant pour les soirs frais.",https://images.unsplash.com/photo-1555939594-58d7cb561ad1,35,facile,7,260,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegan|vegetarien|sans_gluten|sans_lactose|sans_noix,,Poireau:3:unite;Pommes de terre:500:g;Bouillon de légumes:1:l;Oignon:1:unite,Faire revenir l'oignon et les poireaux.;Ajouter les pommes de terre et le bouillon.;Mijoter 25 minutes puis mixer.
catalogue-v1-r-030,Soupe de carottes au lait de coco,"Une soupe douce de carottes relevée au lait de coco.",https://images.unsplash.com/photo-1476718406336-bb5a9690ee2a,30,facile,7,230,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegan|vegetarien|sans_gluten|sans_lactose|sans_noix,,Carottes:700:g;Lait de coco:300:ml;Bouillon de légumes:700:ml;Oignon:1:unite,Faire revenir l'oignon.;Ajouter les carottes et le bouillon puis cuire 20 minutes.;Verser le lait de coco et mixer.
catalogue-v1-r-031,Curry de potiron et riz basmati,"Potiron fondant au curry coco, servi avec du riz.",https://images.unsplash.com/photo-1540189549336-e6e99c3679fe,35,facile,9,470,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegan|vegetarien|sans_gluten|sans_lactose|sans_noix,,Potiron:700:g;Lait de coco:400:ml;Pâte de curry:2:cs;Riz basmati:280:g,Cuire le riz basmati.;Faire revenir le potiron avec la pâte de curry.;Ajouter le lait de coco et mijoter jusqu'à tendreté.
catalogue-v1-r-032,Poulet tomate et basilic,"Du poulet mijoté dans une sauce tomate parfumée au basilic.",https://images.unsplash.com/photo-1565958011703-44f9829ba187,35,facile,12,450,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,sans_gluten|sans_lactose|sans_noix,,Blanc de poulet:600:g;Sauce tomate:400:g;Basilic frais:1:botte;Oignon:1:unite,Faire dorer le poulet avec l'oignon.;Ajouter la sauce tomate et mijoter 20 minutes.;Parsemer de basilic avant de servir.
catalogue-v1-r-033,Poulet crémeux aux champignons,"Poulet et champignons dans une sauce onctueuse.",https://images.unsplash.com/photo-1515003197210-e0cd71810b5f,30,facile,14,510,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,sans_gluten|sans_noix,lactose,Blanc de poulet:600:g;Champignons de Paris:300:g;Crème entière:250:ml;Oignon:1:unite,Faire dorer le poulet et réserver.;Cuire l'oignon et les champignons.;Ajouter la crème et remettre le poulet jusqu'à cuisson complète.
catalogue-v1-r-034,Riz sauté au boeuf et légumes,"Riz, boeuf haché et légumes sautés à la sauce soja.",https://images.unsplash.com/photo-1478145046317-39f10e56b5e9,25,facile,13,560,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,sans_lactose|sans_noix,soja,Boeuf haché:500:g;Riz basmati:300:g;Carottes:250:g;Sauce soja:3:cs,Cuire puis refroidir légèrement le riz.;Faire revenir le boeuf et les carottes.;Ajouter le riz et la sauce soja puis sauter à feu vif.
catalogue-v1-r-035,Tacos de poulet à l'avocat,"Tortillas garnies de poulet, avocat et tomate.",https://images.unsplash.com/photo-1525351484163-7529414344d8,25,facile,13,540,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,sans_lactose|sans_noix,gluten,Blanc de poulet:500:g;Tortillas:8:unite;Avocat:2:unite;Tomate:3:unite,Cuire puis émincer le poulet.;Couper les avocats et les tomates.;Réchauffer les tortillas et les garnir.
catalogue-v1-r-036,"Saumon rôti, asperges et pommes de terre","Un plat complet de saumon, asperges et pommes de terre rôties.",https://images.unsplash.com/photo-1467003909585-2f8a72700288,40,facile,18,550,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,sans_gluten|sans_lactose|sans_noix|poisson,poisson,Pave de saumon:4:unite;Asperges vertes:500:g;Pommes de terre:700:g;Ail:2:unite,Rôtir les pommes de terre 20 minutes à 200°C.;Ajouter les asperges et le saumon.;Poursuivre la cuisson 15 minutes avec l'ail.
catalogue-v1-r-037,"Bowl saumon, riz et edamame","Saumon, riz sushi, edamame et concombre réunis dans un bowl.",https://images.unsplash.com/photo-1498837167922-ddd27525d352,30,facile,17,570,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,sans_gluten|sans_lactose|sans_noix|poisson,poisson|soja,Pave de saumon:2:unite;Riz sushi:180:g;Edamame:150:g;Concombre:1:unite,Cuire le riz et les edamame.;Cuire le saumon puis l'effeuiller.;Assembler avec le concombre émincé.
catalogue-v1-r-038,"Bowl thon, avocat et mangue","Un bowl frais de thon, avocat, mangue et riz.",https://images.unsplash.com/photo-1539136788836-5699e78bfc75,25,facile,17,520,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,sans_gluten|sans_lactose|sans_noix|poisson,poisson,Thon frais:250:g;Riz sushi:180:g;Avocat:1:unite;Mangue:1:unite,Cuire puis refroidir le riz.;Couper le thon l'avocat et la mangue en dés.;Assembler les ingrédients dans deux bols.
catalogue-v1-r-039,Porc au curry coco,"Émincé de porc au lait de coco et curry doux.",https://images.unsplash.com/photo-1547592166-23ac45744acd,30,facile,13,510,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,sans_gluten|sans_lactose|sans_noix,,Filet de porc:600:g;Lait de coco:400:ml;Pâte de curry:2:cs;Oignon:1:unite,Saisir le porc en lamelles.;Ajouter l'oignon et la pâte de curry.;Verser le lait de coco et mijoter 15 minutes.
catalogue-v1-r-040,Porc tomate et riz,"Un mijoté rapide de porc à la tomate accompagné de riz.",https://images.unsplash.com/photo-1569718212165-3a8278d5f624,35,facile,12,530,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,sans_gluten|sans_lactose|sans_noix,,Filet de porc:600:g;Sauce tomate:400:g;Riz basmati:280:g;Oignon:1:unite,Cuire le riz basmati.;Faire dorer le porc et l'oignon.;Ajouter la sauce tomate et mijoter 20 minutes.
